Simbolo,Codice Alimento,Nome Alimento ITA,Nome Alimento ENG,Nome Scientifico,Categoria Merceologica,parte edibile,"Energia, Ric con fibra (kcal)","Energia, Ric con fibra (kJ)",Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Colesterolo,Carboidrati disponibili (MSE),Amido (MSE),Carboidrati solubili (MSE),Fibra alimentare totale,Alcol,Acqua,Ferro,Calcio,Sodio,Potassio,Fosforo,Zinco,Magnesio,Rame,Selenio,Cloro,Iodio,Manganese,Zolfo,"Vitamina B1, Tiamina","Vitamina B2, Riboflavina",Vitamina C,Niacina,Vitamina B6,Folati totali,Acido pantotenico,Biotina,Vitamina B12,Retinolo equivalenti (RE),Retinolo,ß-carotene equivalenti,Vitamina E (ATE),Vitamina D,Vitamina K,Acidi grassi saturi totali,"Somma degli acidi butirrico (C4:0), caproico (C6:0), caprilico (C8:0) e caprico (C10:0)",Acido laurico (C12:0),Acido miristico (C14:0),Acido palmitico (C16:0),Acido stearico (C18:0),Acido arachidico (C20:0),Acido beenico (C22:0),Acidi grassi monoinsaturi totali,Acido miristoleico (C14:1),Acido palmitoleico (C16:1ω-7),Acido oleico (C18:1ω-9cis),Acidi eicosenoico (C20:1ω-9),Acido erucico (C22:1ω-9),Acidi grassi polinsaturi totali,Acido linoleico (C18:2ω-6),Acido linolenico (C18:3ω-3),Acido arachidonico (C20:4ω-6),Acido eicosapentaenoico (EPA) (C20:5ω-3),Acido docosaesaenoico (DHA) (C22:6ω-3),Altri acidi grassi polinsaturi,Triptofano,Treonina,Isoleucina,Leucina,Lisina,Metionina,Cistina,Fenilalanina,Tirosina,Valina,Arginina,Istidina,Alanina,Acido aspartico,Acido glutammico,Glicina,Prolina,Serina,Glucosio,Fruttosio,Galattosio,Saccarosio (MSE),Maltosio (MSE),Lattosio (MSE)
3,8647_2,"MELE, disidratate","APPLES, DEHYDRATED","Pyrus malus, malus pumila",4003,100,356,1511,"1,3",0,"1,3",2,0,2,0,"82,2",-2,"82,2","12,5",0,"2,7",2,40,7,730,66,"0,29",22,"0,27","1,8",1,-2,"0,13",6,-2,"0,06",10,"0,6","0,28",1,"0,43","0,9",0,8,0,49,"0,75",0,"4,3","0,328",0,"0,007","0,01","0,272","0,041",0,0,"0,083",-3,"0,003","0,076",0,0,"0,59","0,486","0,103",0,0,0,0,12,46,51,80,81,13,18,36,25,60,41,21,46,227,135,51,44,53,"13,2","48,6",0,"30,5",0,0
3,8648_2,NOCI PECAN,PECAN NUTS,Carya illinoensis,4003,49,723,2981,"7,2",0,"7,2","71,8",0,"71,8",0,"7,9","3,6","4,3","9,4",0,5,"2,1",83,2,368,380,"2,7",131,"1,5","3,1",15,9,"4,6",140,"0,45","0,1",-2,"1,9","0,19",39,"1,71",19,0,8,0,48,3,0,"3,5","6,165",0,0,0,"4,356","1,741","0,069",0,"40,705",0,0,"40,498","0,207",0,"21,563","20,579","0,984",0,0,0,0,103,202,290,488,230,133,117,345,231,349,886,168,316,676,1405,345,338,351,"0,3","0,3",0,"3,7",0,0
3,8651_2,"PESCHE, disidratate","PEACHES, dehydrated",Prunus persica,4003,100,364,1551,"4,8",0,"4,8","0,9",0,"0,9",0,88,0,88,"3,5",0,3,"3,5",62,21,1229,151,"0,78",57,"0,49",8,11,23,"0,8",240,-2,"0,1",14,"7,8","0,16",7,"0,52","0,2",0,500,0,3000,"0,19",0,"15,7","0,097",0,0,0,"0,084","0,012",-3,-3,"0,329",0,"0,007","0,322",0,0,"0,435","0,424","0,011","0,002",0,0,0,14,188,138,272,154,116,39,151,126,262,122,89,287,802,729,168,202,222,"13,1","13,1",0,"61,6",0,0
3,8652_2,"PESCHE, secche","PEACHES, dried",Prunus persica,4003,100,280,1194,"3,1",0,"3,1","0,7",0,"0,7",0,"68,3",0,"68,3","2,8",0,25,6,48,16,950,117,"0,8",54,"0,63",8,11,23,"0,8",240,"0,01","0,19",18,"5,3","0,1",14,"0,3","0,2",0,390,0,2340,"0,19",0,"15,7","0,076",0,0,0,"0,065","0,009",-3,-3,"0,256",0,"0,006","0,251",0,0,"0,338","0,33","0,008","0,002",0,0,0,9,121,89,175,100,75,25,98,81,169,79,58,185,517,471,108,131,143,"10,2","10,2",0,"47,8",0,0
3,8801_2,CARRUBE,CAROB,Ceratonia Siliqua,4003,100,253,1065,"3,3",0,"3,3","0,7",0,"0,7",0,"49,9",1,"48,9","23,1",0,10,"2,9",348,35,827,79,"0,92",54,"0,57","5,3",70,-3,"0,51",-3,"0,05","0,46","0,2","1,9","0,37",29,"0,15",-3,0,1,0,8,"0,63",0,0,"0,097",0,0,"0,001","0,078","0,015",-3,-3,"0,212",-3,"0,004","0,209",0,0,"0,233","0,228","0,004",0,0,0,0,34,194,149,316,140,58,21,108,86,319,93,87,417,359,259,191,253,217,"6,7","5,8",0,"36,4",0,0
3,8802_2,ANACARDI,CASHEW NUTS,Anacardium occidentale,4003,100,550,2282,15,0,15,46,0,46,0,"18,8","13,2","5,6",3,0,3,6,45,16,565,490,6,260,2,12,18,11,"1,8",380,"0,2","0,02",0,1,"0,43",68,"1,08",13,0,0,0,0,1,0,"34,1","8,165","0,031","0,016","0,016","4,108","3,381","0,279","0,181","24,964",0,"0,143","24,676","0,145",0,"8,23","8,164","0,065",0,0,0,0,240,590,730,1280,520,270,280,790,490,910,1740,400,700,1500,3620,800,690,850,0,0,0,"5,6",0,0
3,8804_2,MACADAMIA,MACADAMIA,Macadamia tetraphylla (integrifolia),4003,31,751,3094,8,0,8,76,0,76,0,"5,1",1,4,8,0,3,3,70,5,363,198,1,118,1,4,18,2,"4,13",130,"0,7","0,1",1,2,"0,275",11,"0,758",6,0,0,0,0,1,0,0,"12,098",0,"0,076","0,661","6,054","2,336","1,946","0,618","59,056",0,"13,02","43,888","1,896","0,234","1,507","1,3","0,207",0,0,0,0,70,300,310,590,200,100,100,450,200,980,1180,190,380,1080,2030,450,460,410,"0,1","0,1",0,"3,9",0,0
3,8808_2,"MANDORLE DOLCI, secche","ALMONDS, dried",Prunus communis,4003,24,628,2595,22,0,22,"55,3",0,"55,3",0,"4,6","0,9","3,7","12,7",0,"5,1",3,240,14,780,550,"2,5",264,"0,92","1,5",18,2,"1,7",150,"0,23","0,4",0,3,"0,15",48,"0,44",64,0,1,0,6,26,0,0,"4,59",0,0,"0,05","3,48","0,94","0,11",0,"39,44",0,"0,38","39,06",0,0,"10,85","10,54","0,3",0,0,0,"0,01",394,565,843,1450,484,194,290,1063,618,1041,2171,647,913,2453,5377,1263,1058,1047,-2,-2,0,"3,7",0,0
3,8816_2,PISTACCHIO DI BRONTE DOP,"PISTACHIO NUTS, ""Pistacchio di Bronte PDO""","Pistacia vera, Napoletana",4003,100,595,2462,"24,3",0,"24,3","48,9",0,"48,9",0,"7,3",-2,"7,3","15,3",0,"5,3","4,5",114,-2,962,416,"2,1",121,"1,2",8,7,"6,2","0,3",160,"0,51","0,19",2,"1,4","1,89",51,"0,52",30,0,33,0,200,"0,14",0,60,"5,43",0,0,"0,04","4,35","0,91","0,08","0,04","33,73",0,"0,41","33,15","0,16",0,"7,56","7,38","0,18",0,0,0,0,194,887,1050,1702,758,279,438,1318,861,1253,3042,585,1148,2674,5808,1420,972,1100,"0,1","0,1",0,"3,7","0,1",0
3,888027_2,"DATTERI, MEDJOOL, DISIDRATATI","DATES, MEDJOOL, DEHYDRATED",Phoenix dactylifera,4003,92,279,1184,"1,8",0,"1,8","0,2",0,"0,2",0,"68,3",0,"66,5","6,7",0,"21,3","0,9",64,1,696,62,"0,44",54,"0,36",3,370,2,"0,3",51,"0,05","0,06",0,"1,61","0,25",15,"0,81",0,0,15,0,89,"0,06",0,"2,7","0,012","0,001",0,0,"0,007","0,004",0,0,"0,014",0,0,"0,013",0,0,"0,007","0,006","0,001",0,0,0,0,7,42,45,82,54,17,46,48,16,66,60,29,78,220,265,90,111,62,"33,7",32,0,"0,5",0,0
