Simbolo,Codice Alimento,Nome Alimento ITA,Nome Alimento ENG,Nome Scientifico,Categoria Merceologica,parte edibile,"Energia, Ric con fibra (kcal)","Energia, Ric con fibra (kJ)",Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Colesterolo,Carboidrati disponibili (MSE),Amido (MSE),Carboidrati solubili (MSE),Fibra alimentare totale,Alcol,Acqua,Ferro,Calcio,Sodio,Potassio,Fosforo,Zinco,Magnesio,Rame,Selenio,Cloro,Iodio,Manganese,Zolfo,"Vitamina B1, Tiamina","Vitamina B2, Riboflavina",Vitamina C,Niacina,Vitamina B6,Folati totali,Acido pantotenico,Biotina,Vitamina B12,Retinolo equivalenti (RE),Retinolo,ß-carotene equivalenti,Vitamina E (ATE),Vitamina D,Vitamina K,Acidi grassi saturi totali,"Somma degli acidi butirrico (C4:0), caproico (C6:0), caprilico (C8:0) e caprico (C10:0)",Acido laurico (C12:0),Acido miristico (C14:0),Acido palmitico (C16:0),Acido stearico (C18:0),Acido arachidico (C20:0),Acido beenico (C22:0),Acidi grassi monoinsaturi totali,Acido miristoleico (C14:1),Acido palmitoleico (C16:1ω-7),Acido oleico (C18:1ω-9cis),Acidi eicosenoico (C20:1ω-9),Acido erucico (C22:1ω-9),Acidi grassi polinsaturi totali,Acido linoleico (C18:2ω-6),Acido linolenico (C18:3ω-3),Acido arachidonico (C20:4ω-6),Acido eicosapentaenoico (EPA) (C20:5ω-3),Acido docosaesaenoico (DHA) (C22:6ω-3),Altri acidi grassi polinsaturi,Triptofano,Treonina,Isoleucina,Leucina,Lisina,Metionina,Cistina,Fenilalanina,Tirosina,Valina,Arginina,Istidina,Alanina,Acido aspartico,Acido glutammico,Glicina,Prolina,Serina,Glucosio,Fruttosio,Galattosio,Saccarosio (MSE),Maltosio (MSE),Lattosio (MSE)
Symbol ,Food Code,Food Name ITA,Food Name ENG,Scientific Name,Food Category,edible part,"Energy, Rec with fibre (kcal)","Energy, Rec with fibre (kJ)",Total protein,Animal protein,Vegetable protein,Total fat,Animal fat,Vegetable fat,Cholesterol,Available carbohydrates (MSE),Starch (MSE),Soluble carbohydrates (MSE),Dietary total fibre,Alcohol,Water,Iron,Calcium,Sodium,Potassium,Phosphorus,Zinc,Magnesium,Copper,Selenium,Chloride,Iodine,Manganese,Sulfur,"Vitamin B1, Thiamin","Vitamin B2, Riboflavin",Vitamin C,Niacin,Vitamin B6,Total folate,Pantothenic acid,Biotin,Vitamin B12,Retinol equivalents (RE),Retinol,ß-carotene equivalents,Vitamin E (ATE),Vitamin D,Vitamin K,Saturated fatty acids,"Sum of butyric (C4:0), caproic (C6:0), caprylic (C8:0) and capric (C10:0) acids",Lauric acid (C12:0),Myristic acid (C14:0),Palmitic acid (C16:0),Stearic acid (C18:0),Arachidic acid (C20:0),Behenic acid (C22:0),Monounsaturated fatty acids,Myristoleic acid (C14:1),Palmitoleic acid (C16:1ω-7),Oleic acid (C18:1ω-9cis),Eicosenoic acid (C20:1ω-9),Erucic acid (C22:1ω-9),Polyunsaturated fatty acids,Linoleic acid (C18:2ω-6),Linolenic acid (C18:3ω-3),Arachidonic acid (C20:4ω-6),Eicosapentaenoic acid (EPA) (C20:5ω-3),Docosahexaenoic acid (DHA) (C22:6ω-3),Other polyunsaturated fatty acids,Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenilalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Glucose,Fructose,Galactose,Sucrose (MSE),Maltose (MSE),Lactose (MSE)
,,,,,,g,kcal,kJ,g,g,g,g,g,g,mg,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,µg,mg,µg,mg,mg,mg,mg,mg,mg,mg,µg,mg,µg,µg,µg,µg,µg,mg,µg,µg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,g,g,g,g,g,g
1,100219_1,"PATATE, POLVERE ISTANTANEA","POTATO, POWDER",,1001,100,351,1488,"9,1",0,"9,1","0,8",0,"0,8",0,"73,2",71,"2,2","16,5",0,7,"2,4",89,1190,1550,220,"1,1",-3,-3,-3,-3,-3,-3,-3,"0,04","0,14",12,"5,6","0,84",13,-3,-3,-3,-2,0,-2,"0,25",0,-3,"0,19",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,63","0,48","0,15",-3,-3,-3,0,121,360,399,529,498,147,95,403,264,503,451,156,399,1447,1508,251,329,329,-3,-3,-3,-3,-3,-3
1,18_1,TAPIOCA,TAPIOCA,Manihot utilissima,1001,100,364,1554,"0,6",0,"0,6","0,2",0,"0,2",0,"95,8","95,8",-2,"0,4",0,"12,6",1,12,4,20,12,"0,12",-3,-3,-3,-3,-3,-3,-3,0,"0,1",0,0,-2,-2,-3,-3,-3,0,0,0,-2,0,-3,"0,05",-3,-3,-3,-3,-3,-3,-3,"0,05",-3,-3,"0,05",-3,-3,"0,03","0,02","0,01",-3,-3,-3,0,9,13,13,19,19,6,13,13,6,16,60,9,16,35,92,13,16,16,-3,-3,-3,-3,-3,-3
1,3002_1,"PATATE, FECOLA","STARCH, POTATO",,1001,100,349,1488,"1,4",0,"1,4",0,0,0,0,"91,5","91,5",0,0,0,"16,1","0,3",10,31,1580,27,"1,3",-3,-3,-3,-3,-3,-3,-3,-2,-2,0,-2,"0,01",51,-3,-3,-3,0,0,0,"0,26",0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,55,61,81,77,23,15,62,41,77,69,24,61,223,232,39,51,51,-3,-3,-3,-3,-3,-3
1,380_1,"PATATE, NOVELLE","POTATOES, YOUNG or EARLY",Solanum tuberosum,1001,96,70,298,2,0,2,0,0,0,0,"15,8","15,6","0,2","1,4",0,"81,9","0,6",10,23,367,54,"0,52",-3,-3,-3,-3,-3,-3,-3,"0,12","0,03",28,"2,4","0,44",25,-3,-3,-3,0,0,0,"0,06",0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,79,88,116,110,32,21,89,58,110,99,34,88,318,331,55,72,72,-3,-3,-3,-3,-3,-3
1,381_1,PATATE,POTATOES,Solanum tuberosum,1001,83,80,340,"2,1",0,"2,1","0,1",0,"0,1",0,18,"17,6","0,4","1,6",0,"78,5","0,6",10,7,570,54,"0,27",-3,-3,-3,-3,-3,-3,-3,"0,1","0,04",15,"2,5","0,44",35,-3,-3,-3,3,0,18,"0,06",0,-3,"0,03",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,01","0,01",-2,-3,-3,-3,0,28,83,92,122,115,34,22,93,61,116,104,36,92,334,348,58,76,76,-3,-3,-3,-3,-3,-3
1,382_1,"PATATINE, IN SACCHETTO, salate","POTATO CHIPS OR CRISPS, PLAIN, salted",,1001,100,540,2254,7,0,7,"34,6",0,"34,6",0,"51,2","50,5","0,7","4,5",0,"1,9","1,63",24,594,1275,165,"1,1",-3,-3,-3,-3,-3,-3,-3,"0,17","0,2",31,"3,8","0,66",45,-3,-3,-3,0,0,0,"4,88",0,-3,"10,96",-3,-3,-3,-3,-3,-3,-3,"9,84",-3,-3,"9,51",-3,-3,"12,17","11,98","0,19",-3,-3,-3,0,93,277,307,407,383,113,73,310,203,387,347,120,307,1113,1160,193,253,253,-3,-3,-3,-3,-3,-3
1,50399_1,"PATATE, DOLCI",BATATAS or SWEETPOTATOES,Ipomaea batatas,1001,84,92,391,"1,2",0,"1,2","0,3",0,"0,3",0,"21,3","15,6","5,7","2,3",0,"73,7","0,7",24,40,370,50,"0,3",-3,-3,-3,-3,-3,-3,-3,"0,17",-2,23,"0,5","0,09",17,-3,-3,-3,655,0,3930,"4,56",0,-3,"0,06",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,132","0,11","0,02",-3,-3,-3,0,15,60,60,88,59,30,9,72,49,79,56,23,65,205,117,54,52,62,-3,-3,-3,-3,-3,-3
1,303_1,"ASPARAGI, di bosco","ASPARAGUS, wild from wood",Asparagus officinalis,2001,57,40,170,"4,6",0,"4,6","0,2",0,"0,2",0,4,0,4,"2,6",0,"89,3","1,1",25,5,198,90,"0,9",-3,-3,-3,-3,-3,-3,-3,"0,13","0,43",23,"1,5","0,11",218,-3,-3,-3,155,0,930,"1,44",0,-3,"0,05",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,09","0,08","0,01",-3,-3,-3,0,55,131,120,210,210,61,42,120,96,173,182,74,265,504,968,158,265,149,-3,-3,-3,-3,-3,-3
1,304_1,"ASPARAGI, di campo","ASPARAGUS, wild from field",Asparagus officinalis,2001,87,33,138,"3,6",0,"3,6","0,2",0,"0,2",0,"3,3",0,"3,3","2,1",0,"91,4","1,2",25,2,240,77,"0,3",-3,-3,-3,-3,-3,-3,-3,"0,21","0,29",18,1,"0,09",175,-3,-3,-3,82,0,492,"1,16",0,-3,"0,05",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,09","0,08","0,01",-3,-3,-3,0,43,103,94,164,164,48,33,94,75,135,142,58,207,394,758,124,207,117,-3,-3,-3,-3,-3,-3
1,305_1,"ASPARAGI, di serra","ASPARAGUS, greenhouse",Asparagus officinalis,2001,52,28,120,3,0,3,"0,1",0,"0,1",0,3,0,3,"2,1",0,92,1,24,2,278,65,"0,8",-3,-3,-3,-3,-3,-3,-3,"0,27","0,25",24,"0,9","0,09",175,-3,-3,-3,13,0,78,"1,16",0,-3,"0,02",-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2,-3,-3,"0,04","0,04",-2,-3,-3,-3,0,36,85,78,137,137,40,27,78,63,113,119,48,173,329,631,103,173,97,-3,-3,-3,-3,-3,-3
1,350_1,"SOIA, GERMOGLI","SOYA, SPROUTS",Glycine max,2001,98,51,214,"6,2",0,"6,2","1,4",0,"1,4",0,3,0,3,"1,1",0,"86,3",1,48,30,218,67,"1,2",-3,-3,-3,-3,-3,-3,-3,"0,23","0,2",13,"0,8","0,18",172,-3,-3,-3,24,0,144,"0,2",0,-3,"0,2",-3,-3,-3,-3,-3,-3,-3,"0,32",-3,-3,"0,31",-3,-3,"0,83","0,72","0,11",-3,-3,-3,0,75,238,275,444,356,65,74,304,226,294,429,165,260,840,931,238,319,308,-3,-3,-3,-3,-3,-3
1,700484_1,"ASPARAGI, in scatola","ASPARAGUS, canned",,2001,100,21,89,"2,1",0,"2,1","0,7",0,"0,7",0,"0,9",0,"0,9","1,6",0,94,"1,8",16,287,172,43,"0,4",-3,-3,-3,-3,-3,-3,-3,"0,06","0,1",18,1,"0,11",96,-3,-3,-3,53,0,318,"0,43",0,-3,"0,15",-3,-3,-3,-3,-3,-3,-3,"0,02",-3,-3,"0,02",-3,-3,"0,28","0,27","0,02",-3,-3,-3,0,25,60,55,96,96,28,19,55,44,79,83,34,121,230,442,72,121,68,-3,-3,-3,-3,-3,-3
1,8035_1,GERMOGLI DI ERBA MEDICA,"ALFA ALFA, SPROUTS",Medicago sativa,2001,100,27,114,4,0,4,"0,7",0,"0,7",0,"0,4",-2,"0,3","1,7",0,"93,4",1,32,6,79,70,"0,9",-3,-3,-3,-3,-3,-3,-3,"0,04","0,06",2,"0,5","0,03",36,-3,-3,-3,16,0,96,"0,01",0,-3,"0,07",-3,-3,-3,-3,-3,-3,-3,"0,06",-3,-3,"0,06",-3,-3,"0,41","0,23","0,18",-3,-3,-3,0,-3,134,143,268,215,-3,-3,-3,-3,145,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
1,306_1,BARBABIETOLE ROSSE,BEETROOT,"Beta vulgaris, cv rapa, forma rubra",2003,82,25,104,"1,1",0,"1,1",0,0,0,0,4,0,4,"2,6",0,"91,3","0,4",20,84,300,21,"0,4",-3,-3,-3,-3,-3,-3,-3,"0,03","0,02",7,"0,2","0,02",101,-3,-3,-3,-2,0,-2,-2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,52,34,79,51,14,17,46,42,51,51,28,66,106,218,66,42,58,-3,-3,-3,-3,-3,-3
1,312_1,CAROTE,CARROTS,Daucus carota,2003,95,39,165,"1,1",0,"1,1",0,0,0,0,"7,6",0,"7,6","3,1",0,"91,6","0,7",44,95,220,37,"0,4",-3,-3,-3,-3,-3,-3,-3,"0,04","0,04",4,"0,7","0,12",10,-3,-3,-3,1148,0,6888,"0,46",0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,41,44,46,43,7,9,34,21,47,46,17,63,146,216,32,31,37,-3,-3,-3,-3,-3,-3
1,341_1,RAPE,TURNIP,Brassica rapa,2003,69,23,99,1,0,1,0,0,0,0,"3,8",0,"3,8","2,6",0,"93,3","0,6",40,58,240,29,"0,08",-3,-3,-3,-3,-3,-3,-3,"0,02","0,07",23,"0,9","0,06",11,-3,-3,-3,0,0,0,-2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,31,54,31,10,11,30,19,42,84,26,51,66,88,48,37,42,-3,-3,-3,-3,-3,-3
1,342_1,RAVANELLI,RED RADISH,Raphanus sativus,2003,99,13,56,"0,8",0,"0,8","0,1",0,"0,1",0,"1,8",0,"1,8","1,3",0,"95,6","0,9",39,59,240,29,"0,09",-3,-3,-3,-3,-3,-3,-3,"0,03","0,02",18,"0,4","0,07",38,-3,-3,-3,-2,0,-2,0,0,-3,"0,03",-3,-3,-3,-3,-3,-3,-3,"0,02",-3,-3,"0,02",-3,-3,"0,05","0,02","0,03",-3,-3,-3,0,5,39,40,49,47,9,7,31,17,43,53,17,29,64,176,29,24,28,-3,-3,-3,-3,-3,-3
1,344_1,SEDANO RAPA,CELERIAC,"Apium graveolens, cv rapaceum",2003,72,33,138,"1,9",0,"1,9","0,1",0,"0,1",0,"3,8",0,"3,8","5,1",0,88,"0,5",52,91,460,90,"0,3",-3,-3,-3,-3,-3,-3,-3,"0,07","0,11",6,"0,5","0,08",51,-3,-3,-3,0,0,0,"0,52",0,-3,"0,03",-3,-3,-3,-3,-3,-3,-3,"0,02",-3,-3,"0,02",-3,-3,"0,05","0,05",0,-3,-3,-3,0,25,56,58,89,73,15,10,56,25,76,56,33,63,324,248,58,51,56,-3,-3,-3,-3,-3,-3
1,500013_1,SCORZONERA,SALSIFY,Tragopogon porrifolius,2003,59,53,222,"1,3",0,"1,3","0,3",0,"0,3",0,"10,2","3,5","1,5","3,2",0,"83,3","0,9",42,5,310,42,"0,2",-3,-3,-3,-3,-3,-3,-3,"0,06","0,01",3,"0,2","0,07",57,-3,-3,-3,3,0,20,"0,19",0,-3,"0,07",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,13","0,11","0,02",-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
1,8032_1,DAIKON,DAIKON,Raphus sativus,2003,87,18,76,"0,8",0,"0,8","0,1",0,"0,1",0,"2,9",-2,"2,9","1,5",0,93,"0,4",30,27,220,25,"0,3",-3,-3,-3,-3,-3,-3,-3,"0,03","0,02",24,"0,5","0,07",38,-3,-3,-3,0,0,0,0,0,-3,"0,03",-3,-3,-3,-3,-3,-3,-3,"0,02",-3,-3,"0,02",-3,-3,"0,05","0,02","0,03",-3,-3,-3,0,4,33,35,41,40,8,7,27,15,37,47,15,25,55,151,25,20,24,-3,-3,-3,-3,-3,-3
1,100172_1,CRAUTI,SAUERKRAUT,,2004,100,26,109,"1,5",0,"1,5","0,3",0,"0,3",0,4,0,4,"1,1",0,91,"0,6",48,355,288,43,"0,4",-3,-3,-3,-3,-3,-3,-3,"0,03","0,05",20,"0,2","0,15",16,-3,-3,-3,-2,0,-2,"0,2",0,-3,"0,08",-3,-3,-3,-3,-3,-3,-3,"0,03",-3,-3,"0,02",-3,-3,"0,13","0,06","0,05",-3,-3,-3,"0,02",16,57,47,81,47,16,17,46,28,64,126,39,77,99,132,72,55,63,-3,-3,-3,-3,-3,-3
1,308_1,BROCCOLETTI DI RAPE,TURNIP TOPS,"Brassica rapa, cv esculenta",2004,60,28,116,"2,9",0,"2,9","0,3",0,"0,3",0,2,0,2,"2,9",0,"90,7","1,5",97,7,296,69,"0,2",-3,-3,-3,-3,-3,-3,-3,"0,04","0,16",110,1,"0,26",194,-3,-3,-3,225,0,1350,"2,24",0,-3,"0,07",-3,-3,-3,-3,-3,-3,-3,"0,02",-3,-3,-2,-3,-3,"0,12","0,04","0,08",-3,-3,-3,0,30,110,91,156,91,30,33,88,54,123,244,75,149,192,255,139,106,122,-3,-3,-3,-3,-3,-3
1,309_1,BROCCOLO A TESTA,"BROCCOLI, PURPLE SPROUTING","Brassica oleracea, cv botrytis caput",2004,51,33,140,3,0,3,"0,4",0,"0,4",0,"3,1",0,"3,1","3,1",0,"90,3","0,8",28,12,340,66,"0,6",-3,-3,-3,-3,-3,-3,-3,"0,04","0,12",54,"1,8","0,17",132,-3,-3,-3,2,0,12,"0,88",0,-3,"0,06",-3,-3,-3,-3,-3,-3,-3,"0,03",-3,-3,"0,03",-3,-3,"0,19","0,04","0,15",-3,-3,-3,0,31,114,94,161,94,31,34,91,56,127,253,77,154,199,264,144,110,126,-3,-3,-3,-3,-3,-3
1,313_1,CAVOLFIORE,CAULIFLOWER,"Brassica oleracea, cv botrytis cauliflaura",2004,66,30,124,"3,2",0,"3,2","0,2",0,"0,2",0,"2,7","0,3","2,4","2,4",0,"90,5","0,8",44,8,350,69,"0,7",-3,-3,-3,-3,-3,-3,-3,"0,1","0,1",59,"1,2","0,23",54,-3,-3,-3,-2,0,-2,"0,18",0,-3,"0,03",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,08","0,02","0,06",-3,-3,-3,0,34,122,101,172,101,34,37,98,59,136,270,82,165,212,282,154,117,134,-3,-3,-3,-3,-3,-3
1,314_1,CAVOLO BROCCOLO VERDE RAMOSO,"BROCCOLI, GREEN",Brassica oleracea cv botritys cimosa,2004,72,30,126,"3,4",0,"3,4","0,3",0,"0,3",0,2,0,2,"3,1",0,89,"1,2",72,12,340,74,"0,6",-3,-3,-3,-3,-3,-3,0,"0,08","0,21",77,"1,8","0,14",90,-3,-3,-3,123,0,738,"1,3",0,-3,"0,05",-3,-3,-3,-3,-3,-3,-3,"0,02",-3,-3,"0,02",-3,-3,"0,14","0,03","0,11",-3,-3,-3,0,36,130,107,183,107,36,39,104,63,144,287,87,175,225,300,164,125,142,-3,-3,0,-3,-3,-3
1,315_1,CAVOLI DI BRUXELLES,BRUSSELS SPROUTS,"Brassica oleracea, cv gemmifera",2004,100,48,200,"4,2",0,"4,2","0,5",0,"0,5",0,"4,3",1,"3,3","5,2",0,"85,7","1,1",51,10,380,50,"0,5",-3,-3,-3,-3,-3,-3,-3,"0,08","0,14",81,"0,7","0,37",135,-3,-3,-3,220,0,1320,1,0,-3,"0,1",-3,-3,-3,-3,-3,-3,-3,"0,04",-3,-3,"0,03",-3,-3,"0,26","0,08","0,17",-3,-3,-3,"0,01",44,160,132,226,132,44,48,128,78,178,354,108,216,278,370,202,154,176,-3,-3,-3,-3,-3,-3
1,316_1,"CAVOLO CAPPUCCIO, VERDE","CABBAGE, JANUARY KING","Brassica oleracea, cv capitata alba",2004,93,24,103,"2,1",0,"2,1","0,1",0,"0,1",0,"2,5",0,"2,5","2,9",0,"92,2","1,1",60,23,260,29,"0,23",-3,-3,-3,-3,-3,-3,-3,"0,06","0,04",47,"0,6","0,17",59,-3,-3,-3,19,0,114,"0,15",0,-3,"0,01",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,05","0,02","0,03",-3,-3,-3,0,22,80,66,113,66,22,24,64,39,89,177,54,108,139,185,101,77,88,-3,-3,-3,-3,-3,-3
1,317_1,"CAVOLO CAPPUCCIO, ROSSO","CABBAGE, RED","Brassica oleracea, cv capitata rubra",2004,94,22,91,"1,9",0,"1,9","0,2",0,"0,2",0,"2,7",0,"2,7",1,0,"92,3",1,60,32,300,24,"0,3",-3,-3,-3,-3,-3,-3,-3,"0,06","0,05",52,"0,6","0,07",32,-3,-3,-3,-2,0,-2,"0,17",0,-3,"0,03",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,1","0,04","0,05",-3,-3,-3,"0,01",20,72,60,102,60,20,22,58,35,81,160,49,98,126,167,91,70,80,-3,-3,-3,-3,-3,-3
1,19067_1,SCALOGNO,SHALLOTS,Allium ascalonium,2005,72,23,98,"1,5",0,"1,5","0,2",0,"0,2",0,"3,3",-2,"3,3","1,5",0,"92,8","0,8",24,10,180,50,"0,4",-3,-3,-3,-3,-3,-3,-3,"0,04","0,06",13,"0,6","0,2",17,-3,-3,-3,445,0,2669,"0,31",0,-3,"0,03",-3,-3,-3,-3,-3,-3,-3,"0,03",-3,-3,"0,03",-3,-3,"0,08","0,07",-2,-3,-3,-3,"0,01",17,59,64,89,75,16,-3,49,43,66,109,26,68,139,310,74,99,68,-3,-3,-3,-3,-3,-3
1,301_1,"AGLIO, fresco","GARLIC, fresh",Allium sativum,2005,75,45,190,"0,9",0,"0,9","0,6",0,"0,6",0,"8,4",0,"8,4","2,3",0,80,"1,5",14,2,347,63,"0,56",-3,-3,-3,-3,-3,-3,-3,"0,14","0,02",5,"1,3","0,21",3,-3,-3,-3,5,0,30,"0,01",0,-3,"0,11",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,3","0,27","0,02",-3,-3,-3,"0,01",9,22,31,44,39,11,9,26,11,41,90,16,19,69,114,28,14,27,-3,-3,-3,-3,-3,-3
1,322_1,CIPOLLE,ONIONS,Allium cepa,2005,83,28,121,1,0,1,"0,1",0,"0,1",0,"5,7",0,"5,7","1,1",0,"92,1","0,4",25,10,140,35,"0,3",-3,-3,-3,-3,-3,-3,-3,"0,02","0,03",5,"0,5","0,14",12,-3,-3,-3,0,0,0,"0,22",0,-3,"0,02",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,03","0,03",-2,-3,-3,-3,0,15,24,35,35,47,9,18,26,25,23,134,16,28,54,161,41,31,29,-3,-3,-3,-3,-3,-3
1,323_1,CIPOLLINE,SPRING ONIONS,"Allium cepa, cv praecox",2005,93,41,175,"1,3",0,"1,3","0,1",0,"0,1",0,"8,5",0,"8,5","1,7",0,"88,2","0,4",51,13,230,48,"0,2",-3,-3,-3,-3,-3,-3,-3,"0,05","0,04",6,"0,8","0,2",17,-3,-3,-3,0,0,0,"0,31",0,-3,"0,02",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,04","0,04",-2,-3,-3,-3,0,19,31,46,46,62,11,24,34,33,30,175,21,36,71,210,54,40,38,-3,-3,-3,-3,-3,-3
1,337_1,PORRI,LEEK,Allium porrum,2005,77,35,146,"2,1",0,"2,1","0,1",0,"0,1",0,"5,2",0,"5,2","2,9",0,"87,8","0,8",54,9,310,57,"0,2",-3,-3,-3,-3,-3,-3,-3,"0,06","0,08",9,"0,5","0,64",74,-3,-3,-3,-2,0,-2,"1,22",0,-3,"0,01",-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2,-3,-3,"0,05","0,02","0,03",-3,-3,-3,0,17,88,73,134,109,25,35,77,57,78,109,35,104,196,316,97,92,129,-3,-3,-3,-3,-3,-3
1,603501_1,"AGLIO, in polvere","GARLIC, powder",Allium sativum,2005,100,266,1125,"18,7",0,"18,7","1,2",0,"1,2",0,"42,7","38,5","4,2","9,9",0,"6,5","3,9",65,19,1360,220,"2,6",-3,-3,-3,-3,-3,-3,-3,"0,47","0,12",0,"0,7","0,99",0,-3,-3,-3,-2,0,-2,"0,03",0,-3,"0,21",-3,-3,-3,-3,-3,-3,-3,"0,03",-3,-3,"0,03",-3,-3,"0,6","0,55","0,05",-3,-3,-3,0,239,521,721,1143,643,374,191,539,239,793,1864,344,389,1436,2367,587,293,560,-3,-3,-3,-3,-3,-3
1,805678_1,"CIPOLLE, secche","ONIONS, dried",Allium cepa,2005,100,339,1438,"10,2",0,"10,2","1,7",0,"1,7",0,"68,6",-2,"48,7",13,0,"4,5","2,6",220,170,1390,260,"1,7",-3,-3,-3,-3,-3,-3,-3,"0,23",-2,33,"0,8","1,6",166,-3,-3,-3,14,0,85,"2,69",0,-3,"0,3",-3,-3,-3,-3,-3,-3,-3,"0,26",-3,-3,"0,26",-3,-3,"0,71","0,68","0,03",-3,-3,-3,0,121,200,295,329,471,87,182,251,234,240,1348,137,222,513,1898,337,408,248,-3,-3,-3,-3,-3,-3
1,805605_1,SUCCO DI CAROTE,"JUICE, CARROT",,2006,100,25,108,"0,5",0,"0,5","0,1",0,"0,1",0,"5,7",-2,"5,7","0,55",0,"92,3","0,2",16,51,240,25,"0,1",-3,-3,-3,-3,-3,-3,-3,"0,03","0,07",6,"0,7","0,14",12,-3,-3,-3,1353,0,8115,"0,56",0,-3,"0,02",-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2,-3,-3,"0,05","0,04","0,01",-3,-3,-3,0,5,18,20,21,19,3,4,16,10,21,21,8,29,67,98,15,14,17,-3,-3,-3,-3,-3,-3
1,805614_1,"SUCCO DI BARBABIETOLA, fresco","JUICE, BEETROOT, fresh",,2006,100,18,75,"0,8",0,"0,8",0,0,0,0,"2,9",0,"2,9","1,9",0,"93,8","0,3",14,60,214,15,"0,29",-3,-3,-3,-3,-3,-3,-3,"0,02","0,01",5,"0,14","0,01",72,-3,-3,-3,-2,0,-2,-2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,25,57,37,10,12,33,31,37,37,20,48,77,159,48,31,42,-3,-3,-3,-3,-3,-3
1,805671_1,SUCCO DI SPINACI,"JUICE, SPINACH",,2006,100,12,50,"1,4",0,"1,4","0,3",0,"0,3",0,"0,5",-2,"0,5","0,9",0,"95,4","1,4",1,73,412,44,"0,2",-3,-3,-3,-3,-3,-3,-3,"0,03","0,17",29,"0,2","0,08",70,-3,-3,-3,225,0,1352,"0,79",0,-3,"0,03",-3,-3,-3,-3,-3,-3,-3,"0,02",-3,-3,"0,02",-3,-3,"0,2","0,03","0,16",-3,-3,-3,"0,01",22,75,68,133,102,30,23,85,70,85,89,35,89,139,164,72,68,67,-3,-3,-3,-3,-3,-3
1,805698_1,SUCCO DI POMODORO,"JUICE, TOMATO",,2006,100,16,66,"0,8",0,"0,8",-2,0,-2,0,3,-2,3,"0,6",0,"93,8","0,4",10,230,230,19,"0,1",-3,-3,-3,-3,-3,-3,-3,"0,02","0,02",8,"0,7","0,06",10,-3,-3,-3,33,0,200,"1,01",0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,16,24,24,6,6,16,11,19,19,14,22,103,366,16,14,22,-3,-3,-3,-3,-3,-3
